vars: 2992
clauses: 16026
i: 0.52,0.39,0.48,0.5,0.65,0.71,0.73
s: 3
t: 0.670
c: 7
mem: 1360.0

i: 0.36,0.56,0.48,0.5,0.43,0.45,0.53
s: 3
t: 0.464
c: 6
mem: 2496.0

i: 0.88,0.42,0.48,0.5,0.52,0.73,0.75
s: 4
t: 0.639
c: 6
mem: 2256.0

i: 0.17,0.39,0.48,0.5,0.53,0.3,0.39
s: 3
t: 0.492
c: 6
mem: 2000.0

i: 0.69,0.67,0.48,0.5,0.3,0.39,0.24
s: 4
t: 0.331
c: 6
mem: 2016.0

i: 0.64,0.46,0.48,0.5,0.48,0.73,0.76
s: 4
t: 0.444
c: 6
mem: 2096.0

i: 0.54,0.57,0.48,0.5,0.56,0.81,0.83
s: 3
t: 0.713
c: 7
mem: 720.0

i: 0.43,0.37,0.48,0.5,0.53,0.35,0.44
s: 3
t: 0.458
c: 6
mem: 1200.0

i: 0.31,0.47,0.48,0.5,0.29,0.28,0.39
s: 3
t: 0.449
c: 6
mem: 688.0

i: 0.55,0.47,0.48,0.5,0.57,0.78,0.8
s: 3
t: 0.740
c: 7
mem: 464.0

i: 0.78,0.68,0.48,0.5,0.83,0.4,0.29
s: 4
t: 0.136
c: 6
mem: 336.0

i: 0.26,0.4,0.48,0.5,0.36,0.26,0.37
s: 3
t: 0.489
c: 6
mem: 1456.0

i: 0.67,0.39,0.48,0.5,0.36,0.38,0.46
s: 4
t: 0.528
c: 6
mem: 736.0

i: 0.0,0.51,0.48,0.5,0.35,0.67,0.44
s: 3
t: 0.909
c: 7
mem: 2176.0

i: 0.63,0.71,0.48,0.5,0.6,0.4,0.39
s: 4
t: 0.427
c: 6
mem: 832.0

i: 0.74,0.44,0.48,0.5,0.55,0.88,0.89
s: 4
t: 0.743
c: 7
mem: 976.0

i: 0.33,0.45,0.48,0.5,0.45,0.88,0.89
s: 3
t: 0.732
c: 7
mem: 496.0

i: 0.07,0.4,0.48,0.5,0.54,0.35,0.44
s: 3
t: 0.514
c: 6
mem: 416.0

i: 0.65,0.57,0.48,0.5,0.47,0.47,0.51
s: 4
t: 0.282
c: 6
mem: 400.0

i: 0.63,0.8,0.48,0.5,0.46,0.31,0.29
s: 4
t: 0.354
c: 6
mem: 368.0

i: 0.58,0.6,0.48,0.5,0.59,0.73,0.76
s: 5
t: 0.904
c: 7
mem: 2288.0

i: 0.76,0.71,0.48,0.5,0.5,0.71,0.75
s: 4
t: 0.754
c: 6
mem: 624.0

i: 0.57,0.38,0.48,0.5,0.06,0.49,0.33
s: 4
t: 0.475
c: 6
mem: 1456.0

i: 0.69,0.8,0.48,0.5,0.46,0.57,0.26
s: 4
t: 0.370
c: 6
mem: 608.0

i: 0.34,0.51,0.48,0.5,0.44,0.37,0.46
s: 4
t: 0.462
c: 6
mem: 656.0

i: 0.72,0.42,0.48,0.5,0.65,0.77,0.79
s: 5
t: 0.413
c: 6
mem: 1184.0

i: 0.61,0.47,0.48,0.5,0.0,0.8,0.32
s: 4
t: 0.733
c: 7
mem: 544.0

i: 0.74,0.56,0.48,0.5,0.47,0.68,0.3
s: 4
t: 0.477
c: 7
mem: 464.0

i: 0.83,0.37,0.48,0.5,0.61,0.71,0.74
s: 3
t: 0.822
c: 6
mem: 1088.0

i: 0.36,0.39,0.48,0.5,0.48,0.22,0.23
s: 3
t: 0.469
c: 6
mem: 320.0

i: 0.72,0.86,0.48,0.5,0.17,0.55,0.21
s: 4
t: 0.426
c: 6
mem: 640.0

i: 0.3,0.37,0.48,0.5,0.59,0.41,0.49
s: 4
t: 0.411
c: 6
mem: 240.0

i: 0.81,0.52,0.48,0.5,0.57,0.78,0.8
s: 3
t: 0.502
c: 6
mem: 528.0

i: 0.32,0.39,0.48,0.5,0.53,0.28,0.38
s: 3
t: 0.561
c: 6
mem: 448.0

i: 0.7,0.61,0.48,0.5,0.56,0.52,0.43
s: 4
t: 0.396
c: 6
mem: 528.0

i: 0.34,0.49,0.48,0.5,0.58,0.85,0.8
s: 3
t: 0.706
c: 7
mem: 448.0

i: 0.63,0.54,0.48,0.5,0.65,0.79,0.81
s: 5
t: 0.663
c: 7
mem: 288.0

i: 0.79,0.54,0.48,0.5,0.5,0.66,0.68
s: 4
t: 0.503
c: 6
mem: 464.0

i: 0.58,0.34,0.48,0.5,0.56,0.87,0.81
s: 4
t: 0.746
c: 7
mem: 544.0

i: 0.24,0.35,0.48,0.5,0.31,0.19,0.31
s: 3
t: 0.459
c: 6
mem: 112.0

i: 0.23,0.32,0.48,0.5,0.55,0.25,0.35
s: 3
t: 0.510
c: 6
mem: 272.0

i: 0.68,0.82,0.48,0.5,0.38,0.65,0.56
s: 4
t: 0.460
c: 7
mem: 288.0

i: 0.7,0.64,0.48,0.5,0.47,0.51,0.47
s: 4
t: 0.375
c: 6
mem: 224.0

i: 0.71,0.52,0.48,0.5,0.64,1.0,0.99
s: 5
t: 0.594
c: 7
mem: 336.0

i: 0.66,0.53,0.48,0.5,0.59,0.66,0.66
s: 5
t: 0.734
c: 7
mem: 288.0

i: 0.34,0.42,0.48,0.5,0.41,0.34,0.43
s: 3
t: 0.504
c: 6
mem: 816.0

i: 0.27,0.3,0.48,0.5,0.71,0.28,0.39
s: 3
t: 0.416
c: 6
mem: 304.0

i: 0.47,0.29,0.48,0.5,0.51,0.33,0.43
s: 3
t: 0.493
c: 6
mem: 384.0

i: 0.64,0.84,0.48,0.5,0.37,0.45,0.4
s: 4
t: 0.364
c: 6
mem: 384.0

i: 0.84,0.44,0.48,0.5,0.48,0.71,0.74
s: 3
t: 0.842
c: 6
mem: 480.0

i: 0.16,0.43,0.48,0.5,0.54,0.27,0.37
s: 3
t: 0.453
c: 6
mem: 176.0

i: 0.04,0.31,0.48,0.5,0.41,0.29,0.39
s: 3
t: 0.523
c: 6
mem: 192.0

i: 0.5,0.37,0.48,0.5,0.66,0.64,0.69
s: 3
t: 0.753
c: 7
mem: 416.0

i: 0.31,0.44,0.48,0.5,0.5,0.79,0.82
s: 3
t: 0.761
c: 7
mem: 240.0

i: 0.64,0.76,0.48,0.5,0.45,0.35,0.38
s: 3
t: 0.568
c: 6
mem: 720.0

i: 0.63,0.47,0.48,0.5,0.51,0.82,0.84
s: 4
t: 0.677
c: 7
mem: 352.0

i: 0.24,0.43,0.48,0.5,0.37,0.28,0.38
s: 3
t: 0.488
c: 6
mem: 192.0

i: 0.74,0.82,0.48,0.5,0.49,0.49,0.41
s: 4
t: 0.367
c: 6
mem: 240.0

i: 0.68,0.67,0.48,0.5,0.49,0.4,0.34
s: 4
t: 0.253
c: 6
mem: 192.0

i: 0.4,0.35,0.48,0.5,0.45,0.33,0.42
s: 3
t: 0.513
c: 6
mem: 144.0

i: 0.51,0.46,0.48,0.5,0.58,0.31,0.41
s: 3
t: 0.431
c: 6
mem: 256.0

i: 0.18,0.3,0.48,0.5,0.46,0.24,0.35
s: 3
t: 0.515
c: 6
mem: 176.0

i: 0.0,0.38,0.48,0.5,0.42,0.48,0.55
s: 3
t: 0.453
c: 6
mem: 224.0

i: 0.76,0.73,0.48,0.5,0.44,0.39,0.39
s: 4
t: 0.376
c: 6
mem: 416.0

i: 0.79,0.41,0.48,0.5,0.66,0.81,0.83
s: 3
t: 0.520
c: 6
mem: 864.0

i: 0.66,0.71,0.48,0.5,0.41,0.5,0.35
s: 4
t: 0.357
c: 6
mem: 240.0

i: 0.35,0.48,0.48,0.5,0.56,0.4,0.48
s: 3
t: 0.485
c: 6
mem: 1216.0

i: 0.65,0.51,0.48,0.5,0.66,0.54,0.33
s: 4
t: 0.163
c: 6
mem: 128.0

i: 0.59,0.61,0.48,0.5,0.42,0.42,0.37
s: 4
t: 0.436
c: 6
mem: 400.0

i: 0.61,0.6,0.48,0.5,0.44,0.39,0.38
s: 5
t: 0.404
c: 6
mem: 272.0

i: 0.47,0.59,0.48,0.5,0.52,0.76,0.79
s: 3
t: 0.799
c: 7
mem: 400.0

i: 0.64,0.66,0.48,0.5,0.41,0.39,0.2
s: 4
t: 0.352
c: 6
mem: 400.0

i: 0.38,0.3,0.48,0.5,0.43,0.29,0.39
s: 3
t: 0.510
c: 6
mem: 208.0

i: 0.25,0.37,0.48,0.5,0.41,0.33,0.42
s: 3
t: 0.518
c: 6
mem: 128.0

i: 0.69,0.39,0.48,0.5,0.57,0.76,0.79
s: 4
t: 0.788
c: 7
mem: 592.0

i: 0.46,0.59,0.48,0.5,0.36,0.76,0.23
s: 3
t: 0.832
c: 7
mem: 384.0

i: 0.17,0.52,0.48,0.5,0.49,0.37,0.46
s: 3
t: 0.451
c: 6
mem: 176.0

i: 0.63,0.49,0.48,0.5,0.79,0.45,0.28
s: 4
t: 0.169
c: 6
mem: 160.0

i: 0.63,0.75,0.48,0.5,0.64,0.73,0.66
s: 4
t: 0.922
c: 7
mem: 1632.0

i: 0.33,0.47,0.48,0.5,0.53,0.18,0.29
s: 4
t: 0.430
c: 6
mem: 416.0

i: 0.67,0.7,0.48,0.5,0.46,0.45,0.33
s: 4
t: 0.384
c: 6
mem: 352.0

i: 0.63,0.65,0.48,0.5,0.66,0.67,0.71
s: 4
t: 0.883
c: 7
mem: 1360.0

i: 0.5,0.49,0.48,0.5,0.49,0.46,0.53
s: 4
t: 0.447
c: 6
mem: 192.0

i: 0.34,0.28,0.48,0.5,0.41,0.35,0.44
s: 3
t: 0.498
c: 6
mem: 80.0

i: 0.41,0.51,0.48,0.5,0.58,0.2,0.31
s: 4
t: 0.429
c: 6
mem: 144.0

i: 0.63,0.86,0.48,0.5,0.39,0.47,0.34
s: 4
t: 0.366
c: 6
mem: 192.0

i: 0.24,0.34,0.48,0.5,0.38,0.3,0.4
s: 3
t: 0.520
c: 6
mem: 272.0

i: 0.74,0.47,0.48,0.5,0.5,0.57,0.42
s: 4
t: 0.389
c: 6
mem: 400.0

i: 0.61,0.52,0.48,0.5,0.54,0.67,0.52
s: 3
t: 1.017
c: 7
mem: 2000.0

i: 0.26,0.5,0.48,0.5,0.44,0.32,0.41
s: 3
t: 0.522
c: 6
mem: 96.0

i: 0.71,0.71,0.48,0.5,0.4,0.54,0.39
s: 4
t: 0.375
c: 6
mem: 432.0

i: 0.52,0.36,0.48,0.5,0.41,0.28,0.38
s: 3
t: 0.489
c: 6
mem: 208.0

i: 0.89,0.55,0.48,0.5,0.51,0.72,0.76
s: 4
t: 0.813
c: 6
mem: 928.0

i: 0.67,0.84,0.48,0.5,0.74,0.54,0.37
s: 4
t: 0.139
c: 6
mem: 0.0

i: 0.4,0.5,0.48,0.5,0.65,0.82,0.84
s: 3
t: 0.766
c: 7
mem: 384.0

i: 0.52,0.54,0.48,0.5,0.62,0.76,0.79
s: 4
t: 0.692
c: 7
mem: 320.0

i: 0.31,0.23,0.48,0.5,0.73,0.05,0.14
s: 3
t: 0.411
c: 6
mem: 0.0

i: 0.36,0.41,0.48,0.5,0.48,0.47,0.54
s: 4
t: 0.422
c: 6
mem: 96.0

i: 0.43,0.39,0.48,0.5,0.47,0.31,0.41
s: 3
t: 0.526
c: 6
mem: 256.0

i: 0.2,0.46,0.48,0.5,0.57,0.78,0.81
s: 3
t: 0.786
c: 7
mem: 656.0

i: 0.72,0.46,0.48,0.5,0.51,0.66,0.7
s: 3
t: 0.973
c: 7
mem: 944.0

i: 0.29,0.28,0.48,0.5,0.44,0.23,0.34
s: 3
t: 0.483
c: 6
mem: 80.0

i: 0.69,0.66,0.48,0.5,0.41,0.5,0.25
s: 4
t: 0.378
c: 6
mem: 224.0

i: 0.77,0.55,0.48,0.5,0.51,0.78,0.74
s: 3
t: 0.487
c: 6
mem: 208.0

i: 0.4,0.42,0.48,0.5,0.37,0.27,0.27
s: 3
t: 0.485
c: 6
mem: 496.0

