vars: 1927
clauses: 13045
i: 43.0,-4.0,76.0,0.0,44.0,12.0,33.0,32.0,0.0
s: 3
t: 0.281
c: 7
mem: 1888.0

i: 39.0,-4.0,91.0,0.0,6.0,19.0,51.0,86.0,34.0
s: 3
t: 0.293
c: 7
mem: 96.0

i: 56.0,0.0,97.0,0.0,42.0,8.0,41.0,55.0,14.0
s: 4
t: 0.368
c: 10
mem: 1344.0

i: 53.0,3.0,81.0,0.0,52.0,-1.0,28.0,30.0,2.0
s: 3
t: 0.505
c: 10
mem: 192.0

i: 53.0,0.0,86.0,0.0,52.0,-6.0,33.0,35.0,2.0
s: 3
t: 0.525
c: 10
mem: 224.0

i: 37.0,0.0,78.0,0.0,20.0,30.0,41.0,57.0,16.0
s: 3
t: 0.321
c: 7
mem: 96.0

i: 37.0,0.0,104.0,0.0,18.0,0.0,66.0,86.0,20.0
s: 3
t: 0.316
c: 7
mem: 128.0

i: 38.0,0.0,76.0,0.0,36.0,-18.0,38.0,40.0,2.0
s: 3
t: 0.327
c: 7
mem: 144.0

i: 45.0,2.0,76.0,0.0,44.0,0.0,31.0,32.0,2.0
s: 3
t: 0.506
c: 10
mem: 128.0

i: 50.0,-3.0,102.0,0.0,50.0,0.0,51.0,53.0,2.0
s: 3
t: 0.270
c: 6
mem: 176.0

i: 37.0,0.0,77.0,0.0,26.0,30.0,40.0,51.0,10.0
s: 3
t: 0.369
c: 8
mem: 224.0

i: 51.0,0.0,102.0,0.0,50.0,-21.0,51.0,53.0,2.0
s: 3
t: 0.282
c: 6
mem: 96.0

i: 37.0,0.0,76.0,0.0,26.0,-26.0,40.0,50.0,10.0
s: 3
t: 0.349
c: 8
mem: 112.0

i: 41.0,0.0,77.0,0.0,38.0,-9.0,36.0,38.0,2.0
s: 3
t: 0.532
c: 10
mem: 144.0

i: 81.0,0.0,84.0,0.0,-14.0,19.0,3.0,100.0,96.0
s: 5
t: 0.164
c: 9
mem: 208.0

i: 37.0,0.0,79.0,0.0,34.0,-4.0,43.0,46.0,2.0
s: 3
t: 0.326
c: 7
mem: 96.0

i: 42.0,-1.0,83.0,0.0,42.0,0.0,40.0,41.0,2.0
s: 3
t: 0.259
c: 6
mem: 96.0

i: 49.0,1.0,79.0,2.0,50.0,4.0,30.0,30.0,0.0
s: 3
t: 0.319
c: 7
mem: 128.0

i: 44.0,0.0,81.0,0.0,44.0,16.0,38.0,37.0,0.0
s: 2
t: 0.458
c: 7
mem: 784.0

