vars: 1885
clauses: 9977
i: 0.52,0.39,0.48,0.5,0.65,0.71,0.73
s: 3
t: 0.361
c: 7
mem: 352.0

i: 0.36,0.56,0.48,0.5,0.43,0.45,0.53
s: 3
t: 0.292
c: 6
mem: 48.0

i: 0.88,0.42,0.48,0.5,0.52,0.73,0.75
s: 4
t: 0.326
c: 6
mem: 352.0

i: 0.17,0.39,0.48,0.5,0.53,0.3,0.39
s: 3
t: 0.306
c: 6
mem: 576.0

i: 0.69,0.67,0.48,0.5,0.3,0.39,0.24
s: 4
t: 0.196
c: 6
mem: 528.0

i: 0.64,0.46,0.48,0.5,0.48,0.73,0.76
s: 4
t: 0.228
c: 6
mem: 384.0

i: 0.54,0.57,0.48,0.5,0.56,0.81,0.83
s: 3
t: 0.342
c: 7
mem: 112.0

i: 0.43,0.37,0.48,0.5,0.53,0.35,0.44
s: 3
t: 0.281
c: 6
mem: 224.0

i: 0.31,0.47,0.48,0.5,0.29,0.28,0.39
s: 3
t: 0.269
c: 6
mem: 304.0

i: 0.55,0.47,0.48,0.5,0.57,0.78,0.8
s: 4
t: 0.324
c: 7
mem: 32.0

i: 0.78,0.68,0.48,0.5,0.83,0.4,0.29
s: 4
t: 0.103
c: 6
mem: 48.0

i: 0.26,0.4,0.48,0.5,0.36,0.26,0.37
s: 3
t: 0.271
c: 6
mem: 144.0

i: 0.67,0.39,0.48,0.5,0.36,0.38,0.46
s: 4
t: 0.291
c: 6
mem: 32.0

i: 0.0,0.51,0.48,0.5,0.35,0.67,0.44
s: 3
t: 0.429
c: 7
mem: 304.0

i: 0.63,0.71,0.48,0.5,0.6,0.4,0.39
s: 5
t: 0.186
c: 6
mem: 16.0

i: 0.74,0.44,0.48,0.5,0.55,0.88,0.89
s: 4
t: 0.336
c: 7
mem: 16.0

i: 0.33,0.45,0.48,0.5,0.45,0.88,0.89
s: 3
t: 0.339
c: 7
mem: 48.0

i: 0.07,0.4,0.48,0.5,0.54,0.35,0.44
s: 3
t: 0.315
c: 6
mem: 48.0

i: 0.65,0.57,0.48,0.5,0.47,0.47,0.51
s: 4
t: 0.149
c: 6
mem: 48.0

i: 0.63,0.8,0.48,0.5,0.46,0.31,0.29
s: 4
t: 0.173
c: 6
mem: 96.0

i: 0.58,0.6,0.48,0.5,0.59,0.73,0.76
s: 5
t: 0.374
c: 7
mem: 128.0

i: 0.76,0.71,0.48,0.5,0.5,0.71,0.75
s: 4
t: 0.532
c: 7
mem: 432.0

i: 0.57,0.38,0.48,0.5,0.06,0.49,0.33
s: 4
t: 0.243
c: 6
mem: 0.0

i: 0.69,0.8,0.48,0.5,0.46,0.57,0.26
s: 4
t: 0.214
c: 6
mem: 144.0

i: 0.34,0.51,0.48,0.5,0.44,0.37,0.46
s: 4
t: 0.224
c: 6
mem: 32.0

i: 0.72,0.42,0.48,0.5,0.65,0.77,0.79
s: 5
t: 0.208
c: 6
mem: 32.0

i: 0.61,0.47,0.48,0.5,0.0,0.8,0.32
s: 4
t: 0.345
c: 7
mem: 128.0

i: 0.74,0.56,0.48,0.5,0.47,0.68,0.3
s: 4
t: 0.221
c: 6
mem: 0.0

i: 0.83,0.37,0.48,0.5,0.61,0.71,0.74
s: 3
t: 0.349
c: 6
mem: 16.0

i: 0.36,0.39,0.48,0.5,0.48,0.22,0.23
s: 3
t: 0.269
c: 6
mem: 32.0

i: 0.72,0.86,0.48,0.5,0.17,0.55,0.21
s: 4
t: 0.262
c: 6
mem: 16.0

i: 0.3,0.37,0.48,0.5,0.59,0.41,0.49
s: 4
t: 0.267
c: 6
mem: 32.0

i: 0.81,0.52,0.48,0.5,0.57,0.78,0.8
s: 4
t: 0.264
c: 6
mem: 128.0

i: 0.32,0.39,0.48,0.5,0.53,0.28,0.38
s: 3
t: 0.301
c: 6
mem: 96.0

i: 0.7,0.61,0.48,0.5,0.56,0.52,0.43
s: 4
t: 0.206
c: 6
mem: 144.0

i: 0.34,0.49,0.48,0.5,0.58,0.85,0.8
s: 3
t: 0.351
c: 7
mem: 32.0

i: 0.63,0.54,0.48,0.5,0.65,0.79,0.81
s: 4
t: 0.341
c: 7
mem: 288.0

i: 0.79,0.54,0.48,0.5,0.5,0.66,0.68
s: 4
t: 0.237
c: 6
mem: 0.0

i: 0.58,0.34,0.48,0.5,0.56,0.87,0.81
s: 4
t: 0.330
c: 7
mem: 0.0

i: 0.24,0.35,0.48,0.5,0.31,0.19,0.31
s: 3
t: 0.259
c: 6
mem: 0.0

i: 0.23,0.32,0.48,0.5,0.55,0.25,0.35
s: 3
t: 0.282
c: 6
mem: 32.0

i: 0.68,0.82,0.48,0.5,0.38,0.65,0.56
s: 5
t: 0.184
c: 6
