vars: 2698
clauses: 14406
i: 0.52,0.39,0.48,0.5,0.65,0.71,0.73
s: 3
t: 0.581
c: 7
mem: 2816.0

i: 0.36,0.56,0.48,0.5,0.43,0.45,0.53
s: 3
t: 0.427
c: 6
mem: 1648.0

i: 0.88,0.42,0.48,0.5,0.52,0.73,0.75
s: 4
t: 0.565
c: 6
mem: 1312.0

i: 0.17,0.39,0.48,0.5,0.53,0.3,0.39
s: 3
t: 0.456
c: 6
mem: 2256.0

i: 0.69,0.67,0.48,0.5,0.3,0.39,0.24
s: 4
t: 0.308
c: 6
mem: 1552.0

i: 0.64,0.46,0.48,0.5,0.48,0.73,0.76
s: 4
t: 0.395
c: 6
mem: 880.0

i: 0.54,0.57,0.48,0.5,0.56,0.81,0.83
s: 3
t: 1.950
c: 7
mem: 24320.0

i: 0.43,0.37,0.48,0.5,0.53,0.35,0.44
s: 3
t: 0.404
c: 6
mem: 0.0

i: 0.31,0.47,0.48,0.5,0.29,0.28,0.39
s: 3
t: 0.407
c: 6
mem: 0.0

i: 0.55,0.47,0.48,0.5,0.57,0.78,0.8
s: 3
t: 0.599
c: 7
mem: 0.0

i: 0.78,0.68,0.48,0.5,0.83,0.4,0.29
s: 4
t: 0.126
c: 6
mem: 0.0

i: 0.26,0.4,0.48,0.5,0.36,0.26,0.37
s: 3
t: 0.419
c: 6
mem: 0.0

i: 0.67,0.39,0.48,0.5,0.36,0.38,0.46
s: 4
t: 0.444
c: 6
mem: 0.0

i: 0.0,0.51,0.48,0.5,0.35,0.67,0.44
s: 3
t: 0.688
c: 7
mem: 0.0

i: 0.63,0.71,0.48,0.5,0.6,0.4,0.39
s: 4
t: 0.376
c: 6
mem: 0.0

i: 0.74,0.44,0.48,0.5,0.55,0.88,0.89
s: 4
t: 0.673
c: 7
mem: 0.0

i: 0.33,0.45,0.48,0.5,0.45,0.88,0.89
s: 3
t: 0.599
c: 7
mem: 0.0

i: 0.07,0.4,0.48,0.5,0.54,0.35,0.44
s: 3
t: 0.472
c: 6
mem: 0.0

i: 0.65,0.57,0.48,0.5,0.47,0.47,0.51
s: 4
t: 0.272
c: 6
mem: 0.0

i: 0.63,0.8,0.48,0.5,0.46,0.31,0.29
s: 4
t: 0.333
c: 6
mem: 0.0

i: 0.58,0.6,0.48,0.5,0.59,0.73,0.76
s: 4
t: 0.696
c: 7
mem: 0.0

i: 0.76,0.71,0.48,0.5,0.5,0.71,0.75
s: 4
t: 0.635
c: 6
mem: 0.0

i: 0.57,0.38,0.48,0.5,0.06,0.49,0.33
s: 4
t: 0.424
c: 6
mem: 0.0

i: 0.69,0.8,0.48,0.5,0.46,0.57,0.26
s: 4
t: 0.303
c: 6
mem: 0.0

i: 0.34,0.51,0.48,0.5,0.44,0.37,0.46
s: 4
t: 0.410
c: 6
mem: 0.0

i: 0.72,0.42,0.48,0.5,0.65,0.77,0.79
s: 5
t: 0.375
c: 6
mem: 0.0

i: 0.61,0.47,0.48,0.5,0.0,0.8,0.32
s: 4
t: 0.644
c: 7
mem: 0.0

i: 0.74,0.56,0.48,0.5,0.47,0.68,0.3
s: 4
t: 0.430
c: 7
mem: 0.0

i: 0.83,0.37,0.48,0.5,0.61,0.71,0.74
s: 3
t: 0.675
c: 6
mem: 0.0

i: 0.36,0.39,0.48,0.5,0.48,0.22,0.23
s: 3
t: 0.410
c: 6
mem: 0.0

i: 0.72,0.86,0.48,0.5,0.17,0.55,0.21
s: 4
t: 0.383
c: 6
mem: 0.0

i: 0.3,0.37,0.48,0.5,0.59,0.41,0.49
s: 4
t: 0.430
c: 6
mem: 0.0

i: 0.81,0.52,0.48,0.5,0.57,0.78,0.8
s: 3
t: 0.457
c: 6
mem: 0.0

i: 0.32,0.39,0.48,0.5,0.53,0.28,0.38
s: 3
t: 0.486
c: 6
mem: 0.0

i: 0.7,0.61,0.48,0.5,0.56,0.52,0.43
s: 4
t: 0.358
c: 6
mem: 0.0

i: 0.34,0.49,0.48,0.5,0.58,0.85,0.8
s: 3
t: 0.611
c: 7
mem: 0.0

i: 0.63,0.54,0.48,0.5,0.65,0.79,0.81
s: 5
t: 0.639
c: 7
mem: 0.0

i: 0.79,0.54,0.48,0.5,0.5,0.66,0.68
s: 4
t: 0.485
c: 6
mem: 0.0

i: 0.58,0.34,0.48,0.5,0.56,0.87,0.81
s: 4
t: 0.679
c: 7
mem: 0.0

i: 0.24,0.35,0.48,0.5,0.31,0.19,0.31
s: 3
t: 0.437
c: 6
mem: 0.0

i: 0.23,0.32,0.48,0.5,0.55,0.25,0.35
s: 3
t: 0.454
c: 6
mem: 0.0

i: 0.68,0.82,0.48,0.5,0.38,0.65,0.56
s: 5
t: 0.402
c: 7
mem: 0.0

i: 0.7,0.64,0.48,0.5,0.47,0.51,0.47
s: 4
t: 0.340
c: 6
mem: 0.0

i: 0.71,0.52,0.48,0.5,0.64,1.0,0.99
s: 5
t: 0.530
c: 7
mem: 0.0

i: 0.66,0.53,0.48,0.5,0.59,0.66,0.66
s: 5
t: 0.501
c: 6
mem: 0.0

i: 0.34,0.42,0.48,0.5,0.41,0.34,0.43
s: 3
t: 0.437
c: 6
mem: 0.0

i: 0.27,0.3,0.48,0.5,0.71,0.28,0.39
s: 3
t: 0.355
c: 6
mem: 0.0

i: 0.47,0.29,0.48,0.5,0.51,0.33,0.43
s: 3
t: 0.429
c: 6
mem: 0.0

i: 0.64,0.84,0.48,0.5,0.37,0.45,0.4
s: 4
t: 0.328
c: 6
mem: 0.0

i: 0.84,0.44,0.48,0.5,0.48,0.71,0.74
s: 3
t: 0.717
c: 6
mem: 0.0

i: 0.16,0.43,0.48,0.5,0.54,0.27,0.37
s: 3
t: 0.421
c: 6
mem: 0.0

i: 0.04,0.31,0.48,0.5,0.41,0.29,0.39
s: 3
t: 0.484
c: 6
mem: 0.0

i: 0.5,0.37,0.48,0.5,0.66,0.64,0.69
s: 3
t: 0.674
c: 7
mem: 0.0

i: 0.31,0.44,0.48,0.5,0.5,0.79,0.82
s: 3
t: 0.613
c: 7
mem: 0.0

i: 0.64,0.76,0.48,0.5,0.45,0.35,0.38
s: 3
t: 0.526
c: 6
mem: 0.0

i: 0.63,0.47,0.48,0.5,0.51,0.82,0.84
s: 4
t: 0.614
c: 7
mem: 0.0

i: 0.24,0.43,0.48,0.5,0.37,0.28,0.38
s: 3
t: 0.461
c: 6
mem: 0.0

i: 0.74,0.82,0.48,0.5,0.49,0.49,0.41
s: 4
t: 0.325
c: 6
mem: 0.0

i: 0.68,0.67,0.48,0.5,0.49,0.4,0.34
s: 4
t: 0.371
c: 6
mem: 0.0

i: 0.4,0.35,0.48,0.5,0.45,0.33,0.42
s: 3
t: 0.466
c: 6
mem: 0.0

i: 0.51,0.46,0.48,0.5,0.58,0.31,0.41
s: 3
t: 0.397
c: 6
mem: 0.0

i: 0.18,0.3,0.48,0.5,0.46,0.24,0.35
s: 3
t: 0.473
c: 6
mem: 0.0

i: 0.0,0.38,0.48,0.5,0.42,0.48,0.55
s: 4
t: 0.398
c: 6
mem: 0.0

i: 0.76,0.73,0.48,0.5,0.44,0.39,0.39
s: 4
t: 0.360
c: 6
mem: 0.0

i: 0.79,0.41,0.48,0.5,0.66,0.81,0.83
s: 3
t: 0.460
c: 6
mem: 0.0

i: 0.66,0.71,0.48,0.5,0.41,0.5,0.35
s: 4
t: 0.335
c: 6
mem: 0.0

i: 0.35,0.48,0.48,0.5,0.56,0.4,0.48
s: 3
t: 0.456
c: 6
mem: 0.0

i: 0.65,0.51,0.48,0.5,0.66,0.54,0.33
s: 4
t: 0.140
c: 6
mem: 0.0

