vars: 1942
clauses: 13200
i: 43.0,-4.0,76.0,0.0,44.0,12.0,33.0,32.0,0.0
s: 3
t: 0.343
c: 8
mem: 1120.0

i: 39.0,-4.0,91.0,0.0,6.0,19.0,51.0,86.0,34.0
s: 3
t: 0.250
c: 6
mem: 240.0

i: 56.0,0.0,97.0,0.0,42.0,8.0,41.0,55.0,14.0
s: 4
t: 0.288
c: 9
mem: 224.0

i: 53.0,3.0,81.0,0.0,52.0,-1.0,28.0,30.0,2.0
s: 3
t: 0.339
c: 8
mem: 352.0

i: 53.0,0.0,86.0,0.0,52.0,-6.0,33.0,35.0,2.0
s: 3
t: 0.294
c: 7
mem: 0.0

i: 37.0,0.0,78.0,0.0,20.0,30.0,41.0,57.0,16.0
s: 3
t: 0.265
c: 6
mem: 0.0

i: 37.0,0.0,104.0,0.0,18.0,0.0,66.0,86.0,20.0
s: 3
t: 0.258
c: 6
mem: 0.0

i: 38.0,0.0,76.0,0.0,36.0,-18.0,38.0,40.0,2.0
s: 3
t: 0.334
c: 8
mem: 0.0

i: 45.0,2.0,76.0,0.0,44.0,0.0,31.0,32.0,2.0
s: 3
t: 0.338
c: 8
mem: 0.0

i: 50.0,-3.0,102.0,0.0,50.0,0.0,51.0,53.0,2.0
s: 3
t: 0.296
c: 7
mem: 0.0

i: 37.0,0.0,77.0,0.0,26.0,30.0,40.0,51.0,10.0
s: 3
t: 0.298
c: 7
mem: 0.0

i: 51.0,0.0,102.0,0.0,50.0,-21.0,51.0,53.0,2.0
s: 3
t: 0.295
c: 7
mem: 0.0

i: 37.0,0.0,76.0,0.0,26.0,-26.0,40.0,50.0,10.0
s: 3
t: 0.339
c: 8
mem: 16.0

i: 41.0,0.0,77.0,0.0,38.0,-9.0,36.0,38.0,2.0
s: 3
t: 0.352
c: 8
mem: 176.0

i: 81.0,0.0,84.0,0.0,-14.0,19.0,3.0,100.0,96.0
s: 5
t: 0.129
c: 8
mem: 768.0

i: 37.0,0.0,79.0,0.0,34.0,-4.0,43.0,46.0,2.0
s: 3
t: 0.298
c: 7
mem: 128.0

i: 42.0,-1.0,83.0,0.0,42.0,0.0,40.0,41.0,2.0
s: 3
t: 0.305
c: 7
mem: 32.0

i: 49.0,1.0,79.0,2.0,50.0,4.0,30.0,30.0,0.0
s: 3
t: 0.343
c: 8
mem: 80.0

i: 44.0,0.0,81.0,0.0,44.0,16.0,38.0,37.0,0.0
s: 3
t: 0.575
c: 8
mem: 704.0

i: 41.0,0.0,78.0,0.0,42.0,9.0,37.0,37.0,0.0
s: 3
t: 0.597
c: 8
mem: 240.0

i: 37.0,0.0,79.0,0.0,16.0,2.0,43.0,64.0,22.0
s: 3
t: 0.271
c: 6
mem: 48.0

i: 37.0,-2.0,80.0,0.0,18.0,-7.0,43.0,62.0,18.0
s: 3
t: 0.272
c: 6
mem: 64.0

i: 51.0,0.0,82.0,0.0,52.0,31.0,31.0,30.0,0.0
s: 3
t: 0.315
c: 7
mem: 48.0

i: 43.0,2.0,86.0,-1.0,42.0,0.0,43.0,45.0,2.0
s: 3
t: 0.312
c: 7
mem: 80.0

i: 55.0,0.0,88.0,3.0,54.0,0.0,32.0,33.0,2.0
s: 3
t: 0.222
c: 6
mem: 96.0

i: 43.0,0.0,79.0,-5.0,44.0,23.0,35.0,35.0,0.0
s: 3
t: 0.444
c: 8
mem: 320.0

i: 37.0,0.0,77.0,-7.0,36.0,5.0,40.0,41.0,0.0
s: 3
t: 0.494
c: 7
mem: 352.0

i: 37.0,0.0,79.0,0.0,24.0,-8.0,42.0,55.0,14.0
s: 3
t: 0.311
c: 7
mem: 96.0

i: 37.0,0.0,83.0,0.0,16.0,-5.0,47.0,68.0,22.0
s: 3
t: 0.277
c: 6
mem: 48.0

i: 43.0,2.0,90.0,0.0,42.0,0.0,47.0,49.0,2.0
s: 3
t: 0.314
c: 7
mem: 80.0

i: 56.0,-2.0,86.0,0.0,56.0,1.0,30.0,29.0,0.0
s: 3
t: 0.303
c: 7
mem: 64.0

i: 55.0,0.0,95.0,0.0,52.0,8.0,40.0,44.0,4.0
s: 4
t: 0.292
c: 9
mem: 64.0

i: 42.0,4.0,83.0,0.0,42.0,0.0,40.0,41.0,2.0
s: 3
t: 0.323
c: 7
mem: 0.0

i: 46.0,3.0,81.0,0.0,46.0,0.0,34.0,34.0,0.0
s: 3
t: 0.369
c: 8
mem: 0.0

i: 56.0,-1.0,86.0,0.0,56.0,5.0,31.0,30.0,0.0
s: 3
t: 0.301
c: 7
mem: 0.0

i: 41.0,0.0,86.0,-4.0,42.0,2.0,45.0,44.0,0.0
s: 3
t: 0.508
c: 7
mem: 0.0

i: 49.0,-1.0,95.0,-2.0,50.0,3.0,46.0,46.0,0.0
s: 3
t: 0.508
c: 7
mem: 0.0

i: 39.0,-2.0,91.0,0.0,6.0,12.0,52.0,86.0,34.0
s: 3
t: 0.274
c: 6
mem: 16.0

i: 56.0,4.0,94.0,0.0,50.0,0.0,38.0,45.0,6.0
s: 4
t: 0.289
c: 9
mem: 128.0

i: 105.0,0.0,106.0,0.0,70.0,0.0,1.0,36.0,36.0
s: 5
t: 0.122
c: 8
mem: 784.0

i: 37.0,0.0,80.0,0.0,30.0,-10.0,43.0,49.0,6.0
s: 3
