vars: 2032
clauses: 14419
i: 43.0,-4.0,76.0,0.0,44.0,12.0,33.0,32.0,0.0
s: 3
t: 0.727
c: 8
mem: 0.0

i: 39.0,-4.0,91.0,0.0,6.0,19.0,51.0,86.0,34.0
s: 3
t: 0.436
c: 6
mem: 0.0

i: 56.0,0.0,97.0,0.0,42.0,8.0,41.0,55.0,14.0
s: 4
t: 0.455
c: 9
mem: 0.0

i: 53.0,3.0,81.0,0.0,52.0,-1.0,28.0,30.0,2.0
s: 3
t: 0.562
c: 8
mem: 0.0

i: 53.0,0.0,86.0,0.0,52.0,-6.0,33.0,35.0,2.0
s: 3
t: 0.514
c: 7
mem: 0.0

i: 37.0,0.0,78.0,0.0,20.0,30.0,41.0,57.0,16.0
s: 3
t: 0.428
c: 6
mem: 0.0

i: 37.0,0.0,104.0,0.0,18.0,0.0,66.0,86.0,20.0
s: 3
t: 0.398
c: 6
mem: 0.0

i: 38.0,0.0,76.0,0.0,36.0,-18.0,38.0,40.0,2.0
s: 3
t: 0.605
c: 8
mem: 0.0

i: 45.0,2.0,76.0,0.0,44.0,0.0,31.0,32.0,2.0
s: 3
t: 0.584
c: 8
mem: 0.0

i: 50.0,-3.0,102.0,0.0,50.0,0.0,51.0,53.0,2.0
s: 3
t: 0.513
c: 7
mem: 0.0

i: 37.0,0.0,77.0,0.0,26.0,30.0,40.0,51.0,10.0
s: 3
t: 0.488
c: 7
mem: 0.0

i: 51.0,0.0,102.0,0.0,50.0,-21.0,51.0,53.0,2.0
s: 3
t: 0.521
c: 7
mem: 0.0

i: 37.0,0.0,76.0,0.0,26.0,-26.0,40.0,50.0,10.0
s: 3
t: 0.569
c: 8
mem: 0.0

i: 41.0,0.0,77.0,0.0,38.0,-9.0,36.0,38.0,2.0
s: 3
t: 0.598
c: 8
mem: 0.0

i: 81.0,0.0,84.0,0.0,-14.0,19.0,3.0,100.0,96.0
s: 5
t: 0.222
c: 8
mem: 0.0

i: 37.0,0.0,79.0,0.0,34.0,-4.0,43.0,46.0,2.0
s: 3
t: 0.500
c: 7
mem: 0.0

i: 42.0,-1.0,83.0,0.0,42.0,0.0,40.0,41.0,2.0
s: 3
t: 0.548
c: 7
mem: 0.0

i: 49.0,1.0,79.0,2.0,50.0,4.0,30.0,30.0,0.0
s: 3
t: 0.732
c: 8
mem: 0.0

i: 44.0,0.0,81.0,0.0,44.0,16.0,38.0,37.0,0.0
s: 2
t: 0.869
c: 8
mem: 0.0

i: 41.0,0.0,78.0,0.0,42.0,9.0,37.0,37.0,0.0
s: 2
t: 1.022
c: 9
mem: 0.0

i: 37.0,0.0,79.0,0.0,16.0,2.0,43.0,64.0,22.0
s: 3
t: 0.405
c: 6
mem: 0.0

i: 37.0,-2.0,80.0,0.0,18.0,-7.0,43.0,62.0,18.0
s: 3
t: 0.414
c: 6
mem: 0.0

i: 51.0,0.0,82.0,0.0,52.0,31.0,31.0,30.0,0.0
s: 3
t: 0.721
c: 8
mem: 0.0

i: 43.0,2.0,86.0,-1.0,42.0,0.0,43.0,45.0,2.0
s: 3
t: 0.593
c: 8
mem: 0.0

i: 55.0,0.0,88.0,3.0,54.0,0.0,32.0,33.0,2.0
s: 3
t: 0.511
c: 7
mem: 0.0

i: 43.0,0.0,79.0,-5.0,44.0,23.0,35.0,35.0,0.0
s: 3
t: 0.838
c: 9
mem: 0.0

i: 37.0,0.0,77.0,-7.0,36.0,5.0,40.0,41.0,0.0
s: 2
t: 0.892
c: 8
mem: 0.0

i: 37.0,0.0,79.0,0.0,24.0,-8.0,42.0,55.0,14.0
s: 3
t: 0.486
c: 7
mem: 0.0

i: 37.0,0.0,83.0,0.0,16.0,-5.0,47.0,68.0,22.0
s: 3
t: 0.418
c: 6
mem: 0.0

i: 43.0,2.0,90.0,0.0,42.0,0.0,47.0,49.0,2.0
s: 3
t: 0.603
c: 8
mem: 0.0

i: 56.0,-2.0,86.0,0.0,56.0,1.0,30.0,29.0,0.0
s: 3
t: 0.583
c: 7
mem: 0.0

i: 55.0,0.0,95.0,0.0,52.0,8.0,40.0,44.0,4.0
s: 4
t: 0.444
c: 9
mem: 0.0

i: 42.0,4.0,83.0,0.0,42.0,0.0,40.0,41.0,2.0
s: 3
t: 0.603
c: 8
mem: 0.0

i: 46.0,3.0,81.0,0.0,46.0,0.0,34.0,34.0,0.0
s: 3
t: 0.810
c: 9
mem: 0.0

i: 56.0,-1.0,86.0,0.0,56.0,5.0,31.0,30.0,0.0
s: 3
t: 0.605
c: 7
mem: 0.0

i: 41.0,0.0,86.0,-4.0,42.0,2.0,45.0,44.0,0.0
s: 2
t: 0.888
c: 8
mem: 0.0

i: 49.0,-1.0,95.0,-2.0,50.0,3.0,46.0,46.0,0.0
s: 2
t: 0.943
c: 8
mem: 0.0

i: 39.0,-2.0,91.0,0.0,6.0,12.0,52.0,86.0,34.0
s: 3
t: 0.448
c: 6
mem: 0.0

i: 56.0,4.0,94.0,0.0,50.0,0.0,38.0,45.0,6.0
s: 4
t: 0.473
c: 9
mem: 0.0

i: 105.0,0.0,106.0,0.0,70.0,0.0,1.0,36.0,36.0
s: 4
t: 0.199
c: 8
mem: 0.0

i: 37.0,0.0,80.0,0.0,30.0,-10.0,43.0,49.0,6.0
s: 3
t: 0.519
c: 7
mem: 0.0

i: 45.0,0.0,85.0,-1.0,44.0,-1.0,40.0,41.0,2.0
s: 3
t: 0.613
c: 8
mem: 0.0

i: 46.0,2.0,76.0,0.0,46.0,9.0,30.0,30.0,0.0
s: 3
t: 0.799
c: 9
mem: 0.0

i: 44.0,3.0,76.0,-1.0,44.0,2.0,32.0,32.0,0.0
s: 3
t: 0.824
c: 9
mem: 0.0

i: 43.0,0.0,99.0,0.0,42.0,-7.0,56.0,58.0,2.0
s: 3
t: 0.535
c: 7
mem: 0.0

i: 45.0,0.0,88.0,-2.0,44.0,0.0,43.0,44.0,0.0
s: 2
t: 0.868
c: 8
mem: 0.0

i: 55.0,0.0,93.0,0.0,38.0,-18.0,37.0,54.0,16.0
s: 4
t: 0.451
c: 9
mem: 0.0

