vars: 1840
clauses: 12875
i: 43.0,-4.0,76.0,0.0,44.0,12.0,33.0,32.0,0.0
s: 3
t: 0.352
c: 7
mem: 0.0

i: 39.0,-4.0,91.0,0.0,6.0,19.0,51.0,86.0,34.0
s: 3
t: 0.212
c: 6
mem: 0.0

i: 56.0,0.0,97.0,0.0,42.0,8.0,41.0,55.0,14.0
s: 4
t: 0.361
c: 10
mem: 0.0

i: 53.0,3.0,81.0,0.0,52.0,-1.0,28.0,30.0,2.0
s: 3
t: 0.451
c: 10
mem: 0.0

i: 53.0,0.0,86.0,0.0,52.0,-6.0,33.0,35.0,2.0
s: 3
t: 0.545
c: 10
mem: 0.0

i: 37.0,0.0,78.0,0.0,20.0,30.0,41.0,57.0,16.0
s: 3
t: 0.234
c: 7
mem: 0.0

i: 37.0,0.0,104.0,0.0,18.0,0.0,66.0,86.0,20.0
s: 3
t: 0.203
c: 6
mem: 0.0

i: 38.0,0.0,76.0,0.0,36.0,-18.0,38.0,40.0,2.0
s: 3
t: 0.312
c: 7
mem: 0.0

i: 45.0,2.0,76.0,0.0,44.0,0.0,31.0,32.0,2.0
s: 3
t: 0.299
c: 7
mem: 0.0

i: 50.0,-3.0,102.0,0.0,50.0,0.0,51.0,53.0,2.0
s: 3
t: 0.259
c: 6
mem: 0.0

i: 37.0,0.0,77.0,0.0,26.0,30.0,40.0,51.0,10.0
s: 3
t: 0.229
c: 7
mem: 0.0

i: 51.0,0.0,102.0,0.0,50.0,-21.0,51.0,53.0,2.0
s: 3
t: 0.256
c: 6
mem: 0.0

i: 37.0,0.0,76.0,0.0,26.0,-26.0,40.0,50.0,10.0
s: 3
t: 0.239
c: 7
mem: 0.0

i: 41.0,0.0,77.0,0.0,38.0,-9.0,36.0,38.0,2.0
s: 3
t: 0.295
c: 7
mem: 0.0

i: 81.0,0.0,84.0,0.0,-14.0,19.0,3.0,100.0,96.0
s: 4
t: 0.189
c: 9
mem: 0.0

i: 37.0,0.0,79.0,0.0,34.0,-4.0,43.0,46.0,2.0
s: 3
t: 0.328
c: 7
mem: 0.0

i: 42.0,-1.0,83.0,0.0,42.0,0.0,40.0,41.0,2.0
s: 3
t: 0.258
c: 6
mem: 0.0

i: 49.0,1.0,79.0,2.0,50.0,4.0,30.0,30.0,0.0
s: 3
