vars: 15499
clauses: 100154
i: 80,100,59,97,26,71,0,43,28,23,94,38,100,28,81,0
s: 10
t: 18.459
c: 17
mem: 9120.0

i: 0,89,31,100,100,80,94,39,63,0,22,15,8,37,95,44
s: 11
t: 36.757
c: 17
mem: 11216.0

i: 64,100,10,99,0,71,56,77,72,71,100,37,75,8,19,0
s: 11
t: 43.031
c: 17
mem: 12656.0

i: 61,95,39,68,100,100,45,76,0,45,10,0,90,36,21,50
s: 7
t: 40.814
c: 17
mem: 8304.0

i: 79,90,68,100,29,67,0,34,2,0,95,0,100,27,5,20
s: 10
t: 21.224
c: 17
mem: 3392.0

i: 47,80,71,100,100,89,38,72,44,48,91,23,45,0,0,10
s: 13
t: 27.009
c: 17
mem: 6384.0

i: 23,84,56,100,100,93,80,73,68,51,76,28,42,12,0,0
s: 10
t: 32.646
c: 17
mem: 8112.0

i: 51,92,12,63,0,8,54,0,100,37,86,86,28,100,20,56
s: 10
t: 31.316
c: 17
mem: 8736.0

i: 20,85,23,62,55,30,18,0,0,22,0,57,29,88,100,100
s: 10
t: 34.762
c: 17
mem: 11568.0

i: 21,93,64,100,100,83,71,57,94,34,95,12,48,5,0,0
s: 11
t: 31.266
c: 17
mem: 5296.0

i: 17,100,3,75,0,43,60,46,100,62,94,69,92,34,92,0
s: 10
t: 16.288
c: 17
mem: 1776.0

i: 31,94,100,100,66,96,5,79,0,50,69,37,92,10,22,0
s: 13
t: 27.316
c: 17
mem: 3856.0

i: 0,75,31,72,67,84,100,100,94,82,80,54,68,27,56,0
s: 13
t: 39.999
c: 17
mem: 13376.0

i: 33,86,21,56,91,44,65,1,0,0,2,51,26,94,100,100
s: 8
t: 47.261
c: 17
mem: 17904.0

i: 27,66,53,100,76,77,49,40,9,13,0,15,50,5,100,0
s: 11
t: 29.425
c: 17
mem: 15648.0

i: 23,73,0,38,19,0,60,1,93,29,100,74,67,100,32,79
s: 9
t: 34.418
c: 17
mem: 15296.0

i: 6,85,0,41,24,0,69,7,100,44,85,88,40,100,3,71
s: 11
t: 31.816
c: 17
mem: 9184.0

i: 71,95,37,79,0,47,90,47,100,68,75,100,63,50,66,0
s: 12
t: 20.288
c: 17
mem: 7296.0

i: 93,71,0,76,15,92,95,100,100,75,93,50,88,25,83,0
s: 10
t: 32.013
c: 17
mem: 2816.0

i: 0,62,35,70,68,85,100,100,99,80,90,53,85,27,87,0
s: 14
t: 36.836
c: 17
mem: 0.0

i: 18,100,0,76,0,49,65,41,100,66,80,55,72,27,70,0
s: 13
t: 24.473
c: 17
mem: 0.0

i: 0,90,48,100,100,95,82,64,56,32,42,0,17,24,70,26
s: 12
t: 31.493
c: 17
mem: 0.0

i: 45,100,30,79,0,47,8,41,68,38,100,52,96,35,91,0
s: 8
t: 23.588
c: 17
mem: 0.0

i: 100,92,62,100,44,70,84,79,79,75,72,33,45,0,0,0
s: 11
t: 48.987
c: 17
mem: 0.0

i: 0,80,37,100,69,81,66,40,57,0,33,26,55,36,100,38
s: 11
t: 34.737
c: 17
mem: 0.0

i: 67,100,39,88,10,56,0,20,44,0,100,12,92,38,31,37
s: 9
t: 20.760
c: 17
mem: 0.0

i: 43,100,9,64,0,19,44,0,90,22,100,66,66,99,15,88
s: 9
t: 37.861
c: 17
mem: 0.0

i: 40,82,0,48,8,0,65,5,100,45,99,93,45,100,5,64
s: 11
t: 35.659
c: 17
mem: 0.0

i: 100,91,58,100,20,75,0,38,11,0,56,3,61,37,20,33
s: 11
t: 19.699
c: 17
mem: 0.0

i: 44,74,53,100,50,73,46,42,44,10,0,0,35,5,100,7
s: 12
t: 38.365
c: 17
mem: 0.0

i: 78,81,41,91,41,44,56,0,0,18,48,60,100,100,33,91
s: 7
t: 37.038
c: 17
mem: 16656.0

i: 0,63,23,93,78,100,89,69,54,41,11,16,41,4,100,0
s: 9
t: 28.989
c: 17
mem: 8384.0

i: 31,74,62,37,55,0,0,17,46,49,100,78,83,100,34,72
s: 9
t: 43.728
c: 17
mem: 6992.0

i: 23,97,20,61,66,44,41,0,8,24,0,82,44,98,100,100
s: 9
t: 57.134
c: 17
mem: 19008.0

i: 0,63,7,30,36,0,73,10,100,49,86,93,49,100,18,71
s: 12
t: 36.807
c: 17
mem: 6416.0

i: 0,60,9,62,54,81,99,100,100,82,76,55,52,28,33,0
s: 13
t: 50.571
c: 17
mem: 13040.0

i: 95,82,71,100,27,77,77,73,100,80,93,42,56,13,0,0
s: 11
t: 44.486
c: 17
mem: 11328.0

i: 81,76,15,100,0,65,100,33,65,0,10,28,90,64,73,94
s: 10
t: 45.089
c: 17
mem: 10544.0

i: 99,100,54,77,26,52,17,23,51,0,100,14,61,35,0,27
s: 9
t: 21.524
c: 17
mem: 0.0

i: 24,77,18,34,46,0,89,20,100,62,78,100,31,90,0,55
s: 12
t: 36.912
c: 17
mem: 0.0

i: 0,39,44,60,83,83,100,100,73,76,50,51,33,26,22,0
s: 11
t: 63.344
c: 17
mem: 14528.0

i: 78,100,60,77,100,93,54,84,66,59,86,34,70,9,0,0
s: 14
t: 31.553
c: 17
mem: 5744.0

i: 0,54,50,76,80,100,60,82,52,57,60,33,88,9,100,0
s: 12
t: 51.383
c: 17
mem: 8256.0

i: 0,93,24,56,49,21,80,0,100,35,83,81,52,100,23,91
s: 11
t: 37.062
c: 17
mem: 9424.0

i: 45,85,79,100,89,78,65,54,100,33,97,8,46,0,0,10
s: 11
t: 33.510
c: 17
mem: 12912.0

i: 22,91,24,64,80,38,67,0,0,13,4,57,26,97,100,100
s: 8
t: 53.026
c: 17
